Team/Country,Total Gold,Total Silver,Total Bronze,Total Medals
C̫te d'Ivoire,0,0,1,1
Islamic Republic of Iran,3,2,2,7
Chinese Taipei,2,4,6,12
Sweden,3,6,0,9
Republic of Korea,6,4,10,20
Philippines,1,2,1,4
Malaysia,0,1,1,2
Fiji,1,0,1,2
Turkey,2,2,9,13
Germany,10,11,16,37
Jordan,0,1,1,2
France,10,12,11,33
Greece,2,1,1,4
Kosovo,2,0,0,2
Slovakia,1,2,1,4
"Hong Kong, China",1,2,3,6
Argentina,0,1,2,3
Belgium,3,1,3,7
Great Britain,22,21,22,65
San Marino,0,1,2,3
Ecuador,2,1,0,3
Qatar,2,0,1,3
Finland,0,0,2,2
Ghana,0,0,1,1
Bahamas,2,0,0,2
India,1,2,4,7
Belarus,1,3,3,7
Kuwait,0,0,1,1
Puerto Rico,1,0,0,1
Croatia,3,3,2,8
Nigeria,0,1,1,2
Italy,10,10,20,40
Lithuania,0,1,0,1
Norway,4,2,2,8
Turkmenistan,0,1,0,1
Spain,3,8,6,17
Cuba,7,3,5,15
Denmark,3,4,4,11
Ireland,2,0,2,4
Thailand,1,0,1,2
Morocco,1,0,0,1
Ukraine,1,6,12,19
Venezuela,1,3,0,4
Israel,2,0,2,4
United States of America,39,41,33,113
Mexico,0,0,4,4
Georgia,2,5,1,8
Estonia,1,0,1,2
Indonesia,1,1,3,5
Mongolia,0,1,3,4
Azerbaijan,0,3,4,7
Grenada,0,0,1,1
Armenia,0,2,2,4
Tunisia,1,1,0,2
Saudi Arabia,0,1,0,1
Uganda,2,1,1,4
Namibia,0,1,0,1
Switzerland,3,4,6,13
Ethiopia,1,1,2,4
Jamaica,4,1,4,9
Latvia,1,0,1,2
Canada,7,6,11,24
Uzbekistan,3,0,2,5
Kyrgyzstan,0,2,1,3
North Macedonia,0,1,0,1
Czech Republic,4,4,3,11
Brazil,7,6,8,21
Kenya,4,4,2,10
Slovenia,3,1,1,5
Dominican Republic,0,3,2,5
Japan,27,14,17,58
Botswana,0,0,1,1
New Zealand,7,6,7,20
Poland,4,5,5,14
Portugal,1,1,2,4
Republic of Moldova,0,0,1,1
Australia,17,7,22,46
People's Republic of China,38,32,18,88
Romania,1,3,0,4
Bulgaria,3,1,2,6
Austria,1,1,5,7
Egypt,1,1,4,6
Kazakhstan,0,0,8,8
Serbia,3,1,5,9
South Africa,1,2,0,3
Burkina Faso,0,0,1,1
Bermuda,1,0,0,1
Bahrain,0,1,0,1
ROC,20,28,23,71
Colombia,0,4,1,5
Hungary,6,7,7,20
Syrian Arab Republic,0,0,1,1
Netherlands,10,12,14,36
