Rank,Team/Country,Gold,Silver,Bronze,Total,Rank by Total,Gold%,Silver%,Bronze%
1,United States of America,39,41,33,113,1,34.51,36.28,29.20
2,People's Republic of China,38,32,18,88,2,43.18,36.36,20.45
3,Japan,27,14,17,58,5,46.55,24.14,29.31
4,Great Britain,22,21,22,65,4,33.85,32.31,33.85
5,ROC,20,28,23,71,3,28.17,39.44,32.39
6,Australia,17,7,22,46,6,36.96,15.22,47.83
7,Netherlands,10,12,14,36,9,27.78,33.33,38.89
8,France,10,12,11,33,10,30.30,36.36,33.33
9,Germany,10,11,16,37,8,27.03,29.73,43.24
10,Italy,10,10,20,40,7,25.00,25.00,50.00
11,Canada,7,6,11,24,11,29.17,25.00,45.83
12,Brazil,7,6,8,21,12,33.33,28.57,38.10
13,New Zealand,7,6,7,20,13,35.00,30.00,35.00
14,Cuba,7,3,5,15,18,46.67,20.00,33.33
15,Hungary,6,7,7,20,13,30.00,35.00,35.00
16,Republic of Korea,6,4,10,20,13,30.00,20.00,50.00
17,Poland,4,5,5,14,19,28.57,35.71,35.71
18,Czech Republic,4,4,3,11,23,36.36,36.36,27.27
19,Kenya,4,4,2,10,25,40.00,40.00,20.00
20,Norway,4,2,2,8,29,50.00,25.00,25.00
21,Jamaica,4,1,4,9,26,44.44,11.11,44.44
22,Spain,3,8,6,17,17,17.65,47.06,35.29
23,Sweden,3,6,0,9,26,33.33,66.67,0.00
24,Switzerland,3,4,6,13,20,23.08,30.77,46.15
25,Denmark,3,4,4,11,23,27.27,36.36,36.36
26,Croatia,3,3,2,8,29,37.50,37.50,25.00
27,Islamic Republic of Iran,3,2,2,7,33,42.86,28.57,28.57
28,Serbia,3,1,5,9,26,33.33,11.11,55.56
29,Belgium,3,1,3,7,33,42.86,14.29,42.86
30,Bulgaria,3,1,2,6,39,50.00,16.67,33.33
31,Slovenia,3,1,1,5,42,60.00,20.00,20.00
32,Uzbekistan,3,0,2,5,42,60.00,0.00,40.00
33,Georgia,2,5,1,8,29,25.00,62.50,12.50
34,Chinese Taipei,2,4,6,12,22,16.67,33.33,50.00
35,Turkey,2,2,9,13,20,15.38,15.38,69.23
36,Greece,2,1,1,4,47,50.00,25.00,25.00
36,Uganda,2,1,1,4,47,50.00,25.00,25.00
38,Ecuador,2,1,0,3,60,66.67,33.33,0.00
39,Ireland,2,0,2,4,47,50.00,0.00,50.00
39,Israel,2,0,2,4,47,50.00,0.00,50.00
41,Qatar,2,0,1,3,60,66.67,0.00,33.33
42,Bahamas,2,0,0,2,66,100.00,0.00,0.00
42,Kosovo,2,0,0,2,66,100.00,0.00,0.00
44,Ukraine,1,6,12,19,16,5.26,31.58,63.16
45,Belarus,1,3,3,7,33,14.29,42.86,42.86
46,Romania,1,3,0,4,47,25.00,75.00,0.00
46,Venezuela,1,3,0,4,47,25.00,75.00,0.00
48,India,1,2,4,7,33,14.29,28.57,57.14
49,"Hong Kong, China",1,2,3,6,39,16.67,33.33,50.00
50,Philippines,1,2,1,4,47,25.00,50.00,25.00
50,Slovakia,1,2,1,4,47,25.00,50.00,25.00
52,South Africa,1,2,0,3,60,33.33,66.67,0.00
53,Austria,1,1,5,7,33,14.29,14.29,71.43
54,Egypt,1,1,4,6,39,16.67,16.67,66.67
55,Indonesia,1,1,3,5,42,20.00,20.00,60.00
56,Ethiopia,1,1,2,4,47,25.00,25.00,50.00
56,Portugal,1,1,2,4,47,25.00,25.00,50.00
58,Tunisia,1,1,0,2,66,50.00,50.00,0.00
59,Estonia,1,0,1,2,66,50.00,0.00,50.00
59,Fiji,1,0,1,2,66,50.00,0.00,50.00
59,Latvia,1,0,1,2,66,50.00,0.00,50.00
59,Thailand,1,0,1,2,66,50.00,0.00,50.00
63,Bermuda,1,0,0,1,77,100.00,0.00,0.00
63,Morocco,1,0,0,1,77,100.00,0.00,0.00
63,Puerto Rico,1,0,0,1,77,100.00,0.00,0.00
66,Colombia,0,4,1,5,42,0.00,80.00,20.00
67,Azerbaijan,0,3,4,7,33,0.00,42.86,57.14
68,Dominican Republic,0,3,2,5,42,0.00,60.00,40.00
69,Armenia,0,2,2,4,47,0.00,50.00,50.00
70,Kyrgyzstan,0,2,1,3,60,0.00,66.67,33.33
71,Mongolia,0,1,3,4,47,0.00,25.00,75.00
72,Argentina,0,1,2,3,60,0.00,33.33,66.67
72,San Marino,0,1,2,3,60,0.00,33.33,66.67
74,Jordan,0,1,1,2,66,0.00,50.00,50.00
74,Malaysia,0,1,1,2,66,0.00,50.00,50.00
74,Nigeria,0,1,1,2,66,0.00,50.00,50.00
77,Bahrain,0,1,0,1,77,0.00,100.00,0.00
77,Saudi Arabia,0,1,0,1,77,0.00,100.00,0.00
77,Lithuania,0,1,0,1,77,0.00,100.00,0.00
77,North Macedonia,0,1,0,1,77,0.00,100.00,0.00
77,Namibia,0,1,0,1,77,0.00,100.00,0.00
77,Turkmenistan,0,1,0,1,77,0.00,100.00,0.00
83,Kazakhstan,0,0,8,8,29,0.00,0.00,100.00
84,Mexico,0,0,4,4,47,0.00,0.00,100.00
85,Finland,0,0,2,2,66,0.00,0.00,100.00
86,Botswana,0,0,1,1,77,0.00,0.00,100.00
86,Burkina Faso,0,0,1,1,77,0.00,0.00,100.00
86,C̫te d'Ivoire,0,0,1,1,77,0.00,0.00,100.00
86,Ghana,0,0,1,1,77,0.00,0.00,100.00
86,Grenada,0,0,1,1,77,0.00,0.00,100.00
86,Kuwait,0,0,1,1,77,0.00,0.00,100.00
86,Republic of Moldova,0,0,1,1,77,0.00,0.00,100.00
86,Syrian Arab Republic,0,0,1,1,77,0.00,0.00,100.00
